original_text,augmented_text,intermediate_english
你们俩 谈恋爱不准耽误学习！,你们两个 恋爱吧 别耽误学习时间,"You two, get in love and don't delay your studies!"
真假？不是说深圳是最后的行程吗,不是说深圳是最后一次旅行吗?,Really? Didn't you say Shenzhen was the last trip?
黄礼志，像翻盖手机一样的女人。,"黄琦,女人像个自动电话","Wong Chi, a woman like a flip-phone."
2025年,2025年,2025
一夜花开,♪ 整夜♪,♪ All night long ♪
hola！,"嘿,哈罗!","Hey, hola!"
深呼吸深呼吸,深吸一口气。 深呼吸。 深呼吸。,Take a deep breath.
抖抖发了12条，其他的草稿发在微博不过分吧,其他的稿件不会太多在推特上发布。,12 shiverings. The other drafts are not too much to post on Twitter.
心理治疗的本质，不过是一种自律的工具。 斯科特派克少有人走的路,心理治疗的精髓 只是一个自我调节的工具,The essence of psychotherapy is just a self-regulating tool.
往事有底片为证,过去有一部电影,There's a film in the past.
今天的好娇小,今天太小了点,It's such a small day.
梦里都是三圈绿松石,这三圈都是绿松石,It's all three laps of green pinestone.
两p人的终极对决,两个P之间的终极战斗,The ultimate fight between the two ps.
耳边想起呼噜声，把帆哥的头转到他爹那边 我可以打，你不行,"我可以战斗,但你不能。","I can fight, but you can't."
所以我不会和不喜欢的人吃火锅,所以我不和不喜欢的人一起吃火锅,So I don't eat hotpots with people I don't like.
想手痒花钱的时候就给纳指打点钱,"当你在想的时候,只要给手指一些钱","When you're thinking about it, just give the finger some money."
换个地方,我们去别的地方吧,Let's go somewhere else.
计划：这周的某一天能早起吃上麦当劳早餐,"计划:本周的一天, 我们会早起吃麦当劳的早餐。","Plan: One day this week, we'll get up early for McDonald's breakfast."
We havent said it all yet,我们还没说完呢,We haven't said it all yet
含蓄和直接的极端人格 秩序感规则感太强 到底是好事还是坏事,"这是一个隐含和直接的极端人格, 和秩序感太强烈。","It's an implicit and direct extreme personality, and the sense of order is too strong."
现在app已经进化到心里想什么就推什么了吗,"现在这个应用的进化 在他的脑海中的东西, 他有没有推什么?","Now that app's evolved into something in his mind, did he push anything?"
的相关内容，来智搜看看。 每天都做梦半夜醒来是为什么,为什么你每天半夜醒来?,Why do you wake up in the middle of the night every day?
十月的最后一天in南京 南京南京禄口国际机场,"在南京,10月最后一天,南京南京国际机场","In Nanjing, the last day of October, Nanjing Nanjing Dynasty International Airport"
今日午餐。日料。,"今天午餐,阳光",Lunch today. Sunshine.
分享单曲 夜 (),分享单夜(),Share Singles Night ()
梦小小的我,梦想我,♪ Dream of me ♪
求人不如求己 苏州,"苏州,乞讨总比求自己好","Begging is better than begging yourself, Suzhou."
晚饭后的瞎溜达，可以回酒店安心加班啦 昆明金马碧鸡坊,你可以晚饭后回旅馆加班,You can go back to the hotel after dinner and work late.
2025第一次全血,2025年 第一次全血,"First full blood, 2025."
继而导之谓之绍，朕当绍宋 绍宋,我将成为胜成,I will be Shosong.
以后要净化朋友圈咯，微信搬到微博啦，无人在意的感觉应该也不错,"我们会清理朋友圈子,我们要去Twitter,感觉很好,没人在乎",We'll clean up the circle of friends. We're moving to Twitter. It's a good feeling no one cares.
